dagger,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
070,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
069,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
068,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
067,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
066,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
065,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
064,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
063,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
062,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
061,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
060,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
059,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
058,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
057,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
056,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
055,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
054,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
053,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
052,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
051,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
050,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
049,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
048,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
047,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
046,1,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
045,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
044,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
043,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
042,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
041,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
040,1,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0
039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
